cluster_name,entry_id,language
collatz_conjecture,cpp_collatz_conjecture_Exercism (thefullarcticfox),cpp
crypto_square,cpp_crypto_square_Exercism (MaxyMoos),cpp
crypto_square,cpp_crypto_square_Exercism (johnngugi),cpp
crypto_square,cpp_crypto_square_Exercism (thefullarcticfox),cpp
diamond,c_diamond_Exercism (ThomasZumsteg),c
difference_of_squares,c_difference_of_squares_Exercism (HeitorMP),c
difference_of_squares,c_difference_of_squares_Exercism (ThomasZumsteg),c
difference_of_squares,c_difference_of_squares_Exercism (chriswilding),c
difference_of_squares,c_difference_of_squares_Exercism (vlzware),c
difference_of_squares,cpp_difference_of_squares_Exercism (MaxyMoos),cpp
difference_of_squares,cpp_difference_of_squares_Exercism (johnngugi),cpp
difference_of_squares,cpp_difference_of_squares_Exercism (thefullarcticfox),cpp
dnd_character,c_dnd_character_Exercism (leleah),c
eliuds_eggs,c_eliuds_eggs_Exercism (leleah),c
etl,c_etl_Exercism (ThomasZumsteg),c
etl,c_etl_Exercism (m3g4d1v3r),c
etl,cpp_etl_Exercism (cmccandless),cpp
etl,cpp_etl_Exercism (johnngugi),cpp
etl,cpp_etl_Exercism (thefullarcticfox),cpp
food_chain,cpp_food_chain_Exercism (MaxyMoos),cpp
food_chain,cpp_food_chain_Exercism (cmccandless),cpp
food_chain,cpp_food_chain_Exercism (johnngugi),cpp
food_chain,cpp_food_chain_Exercism (thefullarcticfox),cpp
gigasecond,c_gigasecond_Exercism (ThomasZumsteg),c
gigasecond,c_gigasecond_Exercism (chriswilding),c
gigasecond,c_gigasecond_Exercism (m3g4d1v3r),c
gigasecond,c_gigasecond_Exercism (paddydoyle),c
gigasecond,cpp_gigasecond_Exercism (MaxyMoos),cpp
gigasecond,cpp_gigasecond_Exercism (cmccandless),cpp
gigasecond,cpp_gigasecond_Exercism (thefullarcticfox),cpp
grade_school,c_grade_school_Exercism (m3g4d1v3r),c
grade_school,cpp_grade_school_Exercism (blogscot),cpp
grade_school,cpp_grade_school_Exercism (johnngugi),cpp
grade_school,cpp_grade_school_Exercism (thefullarcticfox),cpp
grains,c_grains_Exercism (HeitorMP),c
grains,c_grains_Exercism (ThomasZumsteg),c
grains,c_grains_Exercism (m3g4d1v3r),c
grains,cpp_grains_Exercism (MaxyMoos),cpp
grains,cpp_grains_Exercism (cmccandless),cpp
grains,cpp_grains_Exercism (johnngugi),cpp
grains,cpp_grains_Exercism (thefullarcticfox),cpp
hamming,c_hamming_Exercism (HeitorMP),c
hamming,c_hamming_Exercism (ThomasZumsteg),c
hamming,c_hamming_Exercism (attilahorvath),c
hamming,c_hamming_Exercism (chriswilding),c
hamming,c_hamming_Exercism (leleah),c
hamming,c_hamming_Exercism (m3g4d1v3r),c
hamming,c_hamming_Exercism (vlzware),c
hamming,cpp_hamming_Exercism (johnngugi),cpp
hamming,cpp_hamming_Exercism (thefullarcticfox),cpp
hello_world,c_hello_world_Exercism (HeitorMP),c
hello_world,c_hello_world_Exercism (ThomasZumsteg),c
hello_world,c_hello_world_Exercism (attilahorvath),c
hello_world,c_hello_world_Exercism (chriswilding),c
hello_world,c_hello_world_Exercism (m3g4d1v3r),c
hello_world,c_hello_world_Exercism (paddydoyle),c
hello_world,c_hello_world_Exercism (vlzware),c
hello_world,cpp_hello_world_Exercism (blogscot),cpp
hello_world,cpp_hello_world_Exercism (johnngugi),cpp
hello_world,cpp_hello_world_Exercism (thefullarcticfox),cpp
hexadecimal,cpp_hexadecimal_Exercism (MaxyMoos),cpp
hexadecimal,cpp_hexadecimal_Exercism (cmccandless),cpp
hexadecimal,cpp_hexadecimal_Exercism (johnngugi),cpp
hexadecimal,cpp_hexadecimal_Exercism (thefullarcticfox),cpp
high_scores,c_high_scores_Exercism (m3g4d1v3r),c
isogram,c_isogram_Exercism (HeitorMP),c
isogram,c_isogram_Exercism (ThomasZumsteg),c
isogram,c_isogram_Exercism (attilahorvath),c
isogram,c_isogram_Exercism (chriswilding),c
isogram,c_isogram_Exercism (m3g4d1v3r),c
isogram,c_isogram_Exercism (paddydoyle),c
isogram,c_isogram_Exercism (vlzware),c
isogram,cpp_isogram_Exercism (thefullarcticfox),cpp
kindergarten_garden,c_kindergarten_garden_Exercism (m3g4d1v3r),c
largest_series_product,c_largest_series_product_Exercism (ThomasZumsteg),c
largest_series_product,c_largest_series_product_Exercism (vlzware),c
leap,c_leap_Exercism (HeitorMP),c
leap,c_leap_Exercism (ThomasZumsteg),c
leap,c_leap_Exercism (attilahorvath),c
leap,c_leap_Exercism (chriswilding),c
leap,c_leap_Exercism (m3g4d1v3r),c
leap,c_leap_Exercism (vlzware),c
leap,cpp_leap_Exercism (MaxyMoos),cpp
leap,cpp_leap_Exercism (johnngugi),cpp
leap,cpp_leap_Exercism (thefullarcticfox),cpp
linked_list,c_linked_list_Exercism (ThomasZumsteg),c
linked_list,c_linked_list_Exercism (m3g4d1v3r),c
list_ops,c_list_ops_Exercism (m3g4d1v3r),c
luhn,c_luhn_Exercism (HeitorMP),c
luhn,c_luhn_Exercism (chriswilding),c
luhn,c_luhn_Exercism (m3g4d1v3r),c
luhn,cpp_luhn_Exercism (thefullarcticfox),cpp
matching_brackets,c_matching_brackets_Exercism (m3g4d1v3r),c
matching_brackets,c_matching_brackets_Exercism (paddydoyle),c
matching_brackets,cpp_matching_brackets_Exercism (thefullarcticfox),cpp
meetup,c_meetup_Exercism (ThomasZumsteg),c
meetup,c_meetup_Exercism (vlzware),c
meetup,cpp_meetup_Exercism (MaxyMoos),cpp
meetup,cpp_meetup_Exercism (RockLloque),cpp
meetup,cpp_meetup_Exercism (blogscot),cpp
meetup,cpp_meetup_Exercism (cmccandless),cpp
meetup,cpp_meetup_Exercism (thefullarcticfox),cpp
minesweeper,c_minesweeper_Exercism (HeitorMP),c
minesweeper,c_minesweeper_Exercism (m3g4d1v3r),c
nth_prime,c_nth_prime_Exercism (ThomasZumsteg),c
nth_prime,cpp_nth_prime_Exercism (blogscot),cpp
nth_prime,cpp_nth_prime_Exercism (johnngugi),cpp
nth_prime,cpp_nth_prime_Exercism (thefullarcticfox),cpp
nucleotide_count,c_nucleotide_count_Exercism (ThomasZumsteg),c
nucleotide_count,c_nucleotide_count_Exercism (attilahorvath),c
nucleotide_count,c_nucleotide_count_Exercism (vlzware),c
nucleotide_count,cpp_nucleotide_count_Exercism (johnngugi),cpp
nucleotide_count,cpp_nucleotide_count_Exercism (thefullarcticfox),cpp
palindrome_products,c_palindrome_products_Exercism (ThomasZumsteg),c
palindrome_products,c_palindrome_products_Exercism (vlzware),c
pangram,c_pangram_Exercism (HeitorMP),c
pangram,c_pangram_Exercism (ThomasZumsteg),c
pangram,c_pangram_Exercism (m3g4d1v3r),c
pangram,c_pangram_Exercism (paddydoyle),c
pangram,c_pangram_Exercism (vlzware),c
pangram,cpp_pangram_Exercism (johnngugi),cpp
pangram,cpp_pangram_Exercism (thefullarcticfox),cpp
pascals_triangle,c_pascals_triangle_Exercism (HeitorMP),c
pascals_triangle,c_pascals_triangle_Exercism (m3g4d1v3r),c
pascals_triangle,c_pascals_triangle_Exercism (vlzware),c
pascals_triangle,cpp_pascals_triangle_Exercism (thefullarcticfox),cpp
perfect_numbers,c_perfect_numbers_Exercism (ThomasZumsteg),c
perfect_numbers,c_perfect_numbers_Exercism (chriswilding),c
perfect_numbers,c_perfect_numbers_Exercism (leleah),c
perfect_numbers,c_perfect_numbers_Exercism (m3g4d1v3r),c
phone_number,c_phone_number_Exercism (HeitorMP),c
phone_number,c_phone_number_Exercism (ThomasZumsteg),c
phone_number,c_phone_number_Exercism (attilahorvath),c
phone_number,c_phone_number_Exercism (m3g4d1v3r),c
phone_number,c_phone_number_Exercism (vlzware),c
phone_number,cpp_phone_number_Exercism (cmccandless),cpp
phone_number,cpp_phone_number_Exercism (johnngugi),cpp
phone_number,cpp_phone_number_Exercism (thefullarcticfox),cpp
prime_factors,c_prime_factors_Exercism (ThomasZumsteg),c
prime_factors,c_prime_factors_Exercism (chriswilding),c
prime_factors,c_prime_factors_Exercism (m3g4d1v3r),c
prime_factors,cpp_prime_factors_Exercism (MaxyMoos),cpp
prime_factors,cpp_prime_factors_Exercism (blogscot),cpp
prime_factors,cpp_prime_factors_Exercism (cmccandless),cpp
prime_factors,cpp_prime_factors_Exercism (johnngugi),cpp
prime_factors,cpp_prime_factors_Exercism (thefullarcticfox),cpp
protein_translation,c_protein_translation_Exercism (m3g4d1v3r),c
protein_translation,cpp_protein_translation_Exercism (thefullarcticfox),cpp
queen_attack,c_queen_attack_Exercism (HeitorMP),c
queen_attack,c_queen_attack_Exercism (ThomasZumsteg),c
queen_attack,c_queen_attack_Exercism (chriswilding),c
queen_attack,c_queen_attack_Exercism (leleah),c
queen_attack,c_queen_attack_Exercism (m3g4d1v3r),c
queen_attack,c_queen_attack_Exercism (vlzware),c
queen_attack,cpp_queen_attack_Exercism (blogscot),cpp
queen_attack,cpp_queen_attack_Exercism (cmccandless),cpp
queen_attack,cpp_queen_attack_Exercism (johnngugi),cpp
queen_attack,cpp_queen_attack_Exercism (thefullarcticfox),cpp
raindrops,c_raindrops_Exercism (HeitorMP),c
raindrops,c_raindrops_Exercism (ThomasZumsteg),c
raindrops,c_raindrops_Exercism (attilahorvath),c
raindrops,c_raindrops_Exercism (chriswilding),c
raindrops,c_raindrops_Exercism (leleah),c
raindrops,c_raindrops_Exercism (m3g4d1v3r),c
raindrops,c_raindrops_Exercism (vlzware),c
raindrops,cpp_raindrops_Exercism (MaxyMoos),cpp
raindrops,cpp_raindrops_Exercism (cmccandless),cpp
raindrops,cpp_raindrops_Exercism (johnngugi),cpp
react,c_react_Exercism (ThomasZumsteg),c
react,c_react_Exercism (vlzware),c
resistor_color,c_resistor_color_Exercism (HeitorMP),c
resistor_color,c_resistor_color_Exercism (leleah),c
resistor_color,c_resistor_color_Exercism (m3g4d1v3r),c
resistor_color,c_resistor_color_Exercism (paddydoyle),c
resistor_color_duo,c_resistor_color_duo_Exercism (leleah),c
resistor_color_duo,c_resistor_color_duo_Exercism (m3g4d1v3r),c
reverse_string,c_reverse_string_Exercism (m3g4d1v3r),c
reverse_string,cpp_reverse_string_Exercism (thefullarcticfox),cpp
rna_transcription,c_rna_transcription_Exercism (HeitorMP),c
rna_transcription,c_rna_transcription_Exercism (ThomasZumsteg),c
rna_transcription,c_rna_transcription_Exercism (attilahorvath),c
rna_transcription,c_rna_transcription_Exercism (chriswilding),c
rna_transcription,c_rna_transcription_Exercism (leleah),c
rna_transcription,c_rna_transcription_Exercism (m3g4d1v3r),c
rna_transcription,c_rna_transcription_Exercism (vlzware),c
rna_transcription,cpp_rna_transcription_Exercism (MaxyMoos),cpp
rna_transcription,cpp_rna_transcription_Exercism (johnngugi),cpp
rna_transcription,cpp_rna_transcription_Exercism (thefullarcticfox),cpp
robot_name,cpp_robot_name_Exercism (johnngugi),cpp
robot_name,cpp_robot_name_Exercism (thefullarcticfox),cpp
robot_simulator,c_robot_simulator_Exercism (ThomasZumsteg),c
robot_simulator,c_robot_simulator_Exercism (m3g4d1v3r),c
robot_simulator,c_robot_simulator_Exercism (vlzware),c
robot_simulator,cpp_robot_simulator_Exercism (thefullarcticfox),cpp
roman_numerals,c_roman_numerals_Exercism (ThomasZumsteg),c
roman_numerals,c_roman_numerals_Exercism (chriswilding),c
roman_numerals,c_roman_numerals_Exercism (m3g4d1v3r),c
roman_numerals,c_roman_numerals_Exercism (vlzware),c
roman_numerals,cpp_roman_numerals_Exercism (cmccandless),cpp
roman_numerals,cpp_roman_numerals_Exercism (johnngugi),cpp
roman_numerals,cpp_roman_numerals_Exercism (thefullarcticfox),cpp
rotational_cipher,c_rotational_cipher_Exercism (m3g4d1v3r),c
run_length_encoding,c_run_length_encoding_Exercism (ThomasZumsteg),c
saddle_points,c_saddle_points_Exercism (m3g4d1v3r),c
say,cpp_say_Exercism (MaxyMoos),cpp
say,cpp_say_Exercism (cmccandless),cpp
say,cpp_say_Exercism (johnngugi),cpp
say,cpp_say_Exercism (thefullarcticfox),cpp
scrabble_score,c_scrabble_score_Exercism (ThomasZumsteg),c
scrabble_score,c_scrabble_score_Exercism (attilahorvath),c
scrabble_score,c_scrabble_score_Exercism (m3g4d1v3r),c
scrabble_score,c_scrabble_score_Exercism (vlzware),c
scrabble_score,cpp_scrabble_score_Exercism (MaxyMoos),cpp
scrabble_score,cpp_scrabble_score_Exercism (johnngugi),cpp
scrabble_score,cpp_scrabble_score_Exercism (thefullarcticfox),cpp
secret_handshake,c_secret_handshake_Exercism (m3g4d1v3r),c
secret_handshake,cpp_secret_handshake_Exercism (thefullarcticfox),cpp
series,c_series_Exercism (HeitorMP),c
series,c_series_Exercism (ThomasZumsteg),c
series,c_series_Exercism (m3g4d1v3r),c
series,c_series_Exercism (vlzware),c
series,cpp_series_Exercism (johnngugi),cpp
series,cpp_series_Exercism (thefullarcticfox),cpp
sieve,c_sieve_Exercism (ThomasZumsteg),c
sieve,c_sieve_Exercism (m3g4d1v3r),c
sieve,cpp_sieve_Exercism (MaxyMoos),cpp
sieve,cpp_sieve_Exercism (cmccandless),cpp
sieve,cpp_sieve_Exercism (johnngugi),cpp
sieve,cpp_sieve_Exercism (thefullarcticfox),cpp
space_age,c_space_age_Exercism (HeitorMP),c
space_age,c_space_age_Exercism (ThomasZumsteg),c
space_age,c_space_age_Exercism (chriswilding),c
space_age,c_space_age_Exercism (leleah),c
space_age,c_space_age_Exercism (m3g4d1v3r),c
space_age,c_space_age_Exercism (vlzware),c
space_age,cpp_space_age_Exercism (MaxyMoos),cpp
spiral_matrix,c_spiral_matrix_Exercism (m3g4d1v3r),c
square_root,c_square_root_Exercism (HeitorMP),c
square_root,c_square_root_Exercism (chriswilding),c
square_root,c_square_root_Exercism (m3g4d1v3r),c
sublist,c_sublist_Exercism (ThomasZumsteg),c
sublist,c_sublist_Exercism (m3g4d1v3r),c
sublist,c_sublist_Exercism (vlzware),c
sum_of_multiples,c_sum_of_multiples_Exercism (HeitorMP),c
sum_of_multiples,c_sum_of_multiples_Exercism (vlzware),c
sum_of_multiples,cpp_sum_of_multiples_Exercism (MaxyMoos),cpp
sum_of_multiples,cpp_sum_of_multiples_Exercism (cmccandless),cpp
sum_of_multiples,cpp_sum_of_multiples_Exercism (johnngugi),cpp
sum_of_multiples,cpp_sum_of_multiples_Exercism (thefullarcticfox),cpp
triangle,c_triangle_Exercism (HeitorMP),c
triangle,c_triangle_Exercism (ThomasZumsteg),c
triangle,c_triangle_Exercism (chriswilding),c
triangle,c_triangle_Exercism (vlzware),c
triangle,cpp_triangle_Exercism (cmccandless),cpp
triangle,cpp_triangle_Exercism (johnngugi),cpp
triangle,cpp_triangle_Exercism (thefullarcticfox),cpp
trinary,cpp_trinary_Exercism (MaxyMoos),cpp
trinary,cpp_trinary_Exercism (cmccandless),cpp
trinary,cpp_trinary_Exercism (johnngugi),cpp
trinary,cpp_trinary_Exercism (thefullarcticfox),cpp
two_fer,c_two_fer_Exercism (ThomasZumsteg),c
two_fer,c_two_fer_Exercism (chriswilding),c
two_fer,c_two_fer_Exercism (leleah),c
two_fer,cpp_two_fer_Exercism (thefullarcticfox),cpp
word_count,c_word_count_Exercism (ThomasZumsteg),c
word_count,c_word_count_Exercism (paddydoyle),c
word_count,cpp_word_count_Exercism (cmccandless),cpp
word_count,cpp_word_count_Exercism (johnngugi),cpp
word_count,cpp_word_count_Exercism (thefullarcticfox),cpp
wordy,c_wordy_Exercism (HeitorMP),c
